eco,name,movetext
A00,"Amar Gambit","1.Nh3 d5 2.g3 e5 3.f4 Bxh3 4.Bxh3 exf4"
A00,"Amar Opening",1.Nh3
A00,"Amar Opening: Gent Gambit","1.Nh3 d5 2.g3 e5 3.f4 Bxh3 4.Bxh3 exf4 5.O-O fxg3 6.hxg3"
A00,"Amar Opening: Paris Gambit","1.Nh3 d5 2.g3 e5 3.f4"
A00,"Amsterdam Attack","1.e3 e5 2.c4 d6 3.Nc3 Nc6 4.b3 Nf6"
A00,"Anderssen's Opening",1.a3
A00,"Anderssen's Opening: Polish Gambit","1.a3 a5 2.b4"
A00,"Barnes Opening: Fool's Mate","1.f3 e5 2.g4 Qh4#"
A00,"Barnes Opening: Gedult Gambit","1.f3 d5 2.e4 g6 3.d4 dxe4 4.c3"
A00,"Barnes Opening: Gedult Gambit","1.f3 f5 2.e4 fxe4 3.Nc3"
A00,"Barnes Opening: Hammerschlag","1.f3 e5 2.Kf2"
A00,"Clemenz Opening",1.h3
A00,"Clemenz Opening: Spike Lee Gambit","1.h3 h5 2.g4"
A00,"Crab Opening","1.a4 e5 2.h4"
A00,"Creepy Crawly Formation: Classical Defense","1.h3 d5 2.a3 e5"
A00,"Englund Gambit Declined: Reversed French","1.e3 e5 2.d4"
A00,"Formation: Cabbage Attack","1.c3 e5 2.a3 d5 3.b3 Nf6 4.Bb2 Nc6 5.a4 Bd6 6.g3 O-O 7.e3"
A00,"Formation: Hippopotamus Attack","1.a3 e5 2.b3 d5 3.c3 Nf6 4.d3 Nc6 5.e3 Bd6 6.f3 O-O 7.g3"
A00,"Formation: Shy Attack","1.a3 e5 2.g3 d5 3.Bg2 Nf6 4.d3 Nc6 5.Nd2 Bd6 6.e3 O-O 7.h3"
A00,"Gedult's Opening",1.f3
A00,"Global Opening","1.h3 e5 2.a3"
A00,"Grob Opening",1.g4
A00,"Grob Opening: Alessi Gambit","1.g4 f5"
A00,"Grob Opening: Double Grob","1.g4 g5"
A00,"Grob Opening: Double Grob, Coca-Cola Gambit","1.g4 g5 2.f4"
A00,"Grob Opening: Grob Gambit","1.g4 d5 2.Bg2"
A00,"Grob Opening: Grob Gambit Declined","1.g4 d5 2.Bg2 c6"
A00,"Grob Opening: Grob Gambit, Basman Gambit","1.g4 d5 2.Bg2 h5 3.gxh5"
A00,"Grob Opening: Grob Gambit, Fritz Gambit","1.g4 d5 2.Bg2 Bxg4 3.c4"
A00,"Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit","1.g4 d5 2.Bg2 Bxg4 3.c4 d4 4.Bxb7 Nd7 5.Bxa8 Qxa8"
A00,"Grob Opening: Grob Gambit, Keres Gambit","1.g4 d5 2.Bg2 e5 3.d4 exd4 4.c3"
A00,"Grob Opening: Grob Gambit, Richter-Grob Gambit","1.g4 d5 2.Bg2 c6 3.c4 dxc4 4.b3"
A00,"Grob Opening: Keene Defense","1.g4 d5 2.h3 e5 3.Bg2 c6"
A00,"Grob Opening: Keene Defense, Main Line","1.g4 d5 2.h3 e5 3.Bg2 c6 4.d4 e4 5.c4 Bd6 6.Nc3 Ne7"
A00,"Grob Opening: London Defense","1.g4 e5 2.h3 Nc6"
A00,"Grob Opening: Romford Countergambit","1.g4 d5 2.Bg2 Bxg4 3.c4 d4"
A00,"Grob Opening: Spike Attack","1.g4 d5 2.Bg2 c6 3.g5"
A00,"Grob Opening: Spike, Hurst Attack","1.g4 e5 2.Bg2 d5 3.c4"
A00,"Grob Opening: Zilbermints Gambit","1.g4 d5 2.e4 dxe4 3.Nc3"
A00,"Grob Opening: Zilbermints Gambit, Schiller Defense","1.g4 d5 2.e4 dxe4 3.Nc3 h5"
A00,"Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit","1.g4 d5 2.e4 dxe4 3.Nc3 e5 4.d3"
A00,"Hungarian Opening",1.g3
A00,"Hungarian Opening: Asten Gambit","1.g3 Nc6 2.Nc3 d5 3.d4 e5 4.dxe5 d4 5.Ne4 f5"
A00,"Hungarian Opening: Burk Gambit","1.g3 e5 2.a3 d5 3.Nf3 e4 4.Nh4 Be7 5.d3"
A00,"Hungarian Opening: Bücker Gambit","1.g3 d5 2.Bg2 e5 3.b4"
